word,is_clueable,zipf,pos,flags,theme_tags,banned,in_must_keep,sources
ABSTRACT,True,4.14,noun,atomic=False,,False,,BAS|PLAY|WL
ABSTRACTS,True,3.11,noun,atomic=False,,False,,BAS|PLAY|WL
ABSTRICT,True,,,,,False,,PLAY|WL
ABSTRICTS,True,,,,,False,,PLAY|WL
ABSTRUSE,True,,,,,False,,PLAY|WL
ABSTRUSER,True,,,,,False,,PLAY|WL
ABSURD,True,3.95,noun,atomic=False,,False,,BAS|PLAY|WL
ABSURDER,True,,,,,False,,PLAY|WL
ABSURDEST,True,,,,,False,,PLAY|WL
ABSURDISM,True,,,,,False,,PLAY|WL
ABSURDIST,True,,,,,False,,PLAY|WL
ABSURDITY,True,3.21,noun,atomic=False,,False,,BAS|PLAY|WL
ABSURDLY,True,2.95,adv,atomic=False,,False,,BAS|PLAY|WL
ABSURDS,True,,,,,False,,PLAY|WL
ABUBBLE,True,,,,,False,,PLAY|WL
ABUILDING,True,,,,,False,,PLAY|WL
ABULIA,True,,,,,False,,PLAY|WL
ABULIAS,True,,,,,False,,PLAY|WL
ABULIC,True,,,,,False,,PLAY|WL
ABUNDANCE,True,3.86,noun,atomic=False,,False,,BAS|PLAY|WL
ABUNDANT,True,3.77,adj,atomic=False,,False,,BAS|PLAY|WL
ABUSABLE,True,,,,,False,,PLAY|WL
ABUSE,True,4.66,noun,atomic=True,,False,,BAS|PLAY|WL
ABUSED,True,4.0,verb,atomic=True,,False,,BAS|PLAY|WL
ABUSER,True,3.14,noun,atomic=False,,False,,BAS|PLAY|WL
ABUSERS,True,3.25,noun,atomic=True,,False,,BAS|PLAY|WL
ABUSES,True,3.69,noun,atomic=False,,False,,BAS|PLAY|WL
ABUSING,True,3.62,verb,atomic=False,,False,,BAS|PLAY|WL
ABUSIVE,True,3.87,adj,atomic=False,,False,,BAS|PLAY|WL
ABUSIVELY,True,,,,,False,,PLAY|WL
ABUT,True,,,,,False,,PLAY|WL
ABUTILON,True,,,,,False,,PLAY|WL
ABUTILONS,True,,,,,False,,PLAY|WL
ABUTMENT,True,,,,,False,,PLAY|WL
ABUTMENTS,True,,,,,False,,PLAY|WL
ABUTS,True,,,,,False,,PLAY|WL
ABUTTAL,True,,,,,False,,PLAY|WL
ABUTTALS,True,,,,,False,,PLAY|WL
ABUTTED,True,,,,,False,,PLAY|WL
ABUTTER,True,,,,,False,,PLAY|WL
ABUTTERS,True,,,,,False,,PLAY|WL
ABUTTING,True,,,,,False,,PLAY|WL
ABUZZ,True,,,,,False,,PLAY|WL
ABVOLT,True,,,,,False,,PLAY|WL
ABVOLTS,True,,,,,False,,PLAY|WL
ABWATT,True,,,,,False,,PLAY|WL
ABWATTS,True,,,,,False,,PLAY|WL
ABY,True,,,,,False,,PLAY|WL
ABYE,True,,,,,False,,PLAY|WL
ABYES,True,,,,,False,,PLAY|WL
ABYING,True,,,,,False,,PLAY|WL
ABYS,True,,,,,False,,PLAY|WL
ABYSM,True,,,,,False,,PLAY|WL
ABYSMAL,True,2.92,adj,atomic=True,,False,,BAS|PLAY|WL
ABYSMALLY,True,,,,,False,,PLAY|WL
ABYSMS,True,,,,,False,,PLAY|WL
ABYSS,True,3.4,noun,atomic=True,,False,,BAS|PLAY|WL
