word,pos,zipf,flags,theme_tags
aerobic,adj,3.19,atomic=False,
aerobics,noun,2.75,atomic=False,
aeroplane,noun,3.18,atomic=False,
aerosol,noun,3.03,atomic=True,
aerosols,noun,2.7,atomic=True,
aerospace,noun,3.73,atomic=False,
aesthetic,noun,4.02,atomic=False,
aether,noun,2.74,atomic=True,
afar,adv,3.35,atomic=True,
affable,adj,2.66,atomic=False,
affair,noun,4.3,atomic=False,
affaires,noun,2.68,atomic=False,
affairs,noun,4.67,atomic=False,
affect,noun,4.59,atomic=False,
affected,verb,4.64,atomic=False,
affecting,verb,4.07,atomic=False,
affection,noun,3.92,atomic=False,
affective,adj,3.0,atomic=False,
affects,noun,4.16,atomic=False,
affidavit,noun,3.38,atomic=False,
affiliate,noun,3.99,atomic=False,
affinity,noun,3.61,atomic=False,
affirm,verb,3.2,atomic=False,
affirmed,noun,3.36,atomic=False,
affirming,verb,3.15,atomic=False,
affirms,verb,2.96,atomic=False,
affix,noun,2.63,atomic=False,
affixed,verb,2.94,atomic=False,
afflicted,verb,3.29,atomic=False,
affluence,noun,2.74,atomic=False,
affluent,noun,3.37,atomic=False,
afford,verb,4.57,atomic=False,
afforded,verb,3.46,atomic=False,
affording,verb,2.76,atomic=False,
affords,verb,3.05,atomic=False,
affront,noun,2.89,atomic=False,
afghan,noun,3.83,atomic=True,
afghans,noun,2.96,atomic=True,
afield,adv,3.0,atomic=True,
afloat,adj,3.33,atomic=True,
afoot,adj,2.89,atomic=True,
aforesaid,adj,2.6,atomic=False,
afoul,adj,2.63,atomic=True,
afraid,adj,4.7,atomic=True,
afresh,adv,2.78,atomic=True,
aft,adj,3.39,atomic=True,
after,adj,6.11,atomic=False,
afterglow,noun,2.64,atomic=False,
afterlife,noun,3.36,atomic=False,
aftermath,noun,3.9,atomic=False,
afternoon,noun,4.72,atomic=False,
afterward,adv,3.83,atomic=False,
aga,noun,3.08,atomic=True,
again,adv,5.7,atomic=True,
agape,noun,2.65,atomic=True,
agar,noun,3.02,atomic=True,
agate,noun,2.81,atomic=True,
agave,noun,2.74,atomic=True,
age,noun,5.32,atomic=True,
aged,noun,4.5,atomic=True,
ageing,noun,3.44,atomic=False,
ageless,adj,2.69,atomic=False,
agencies,noun,4.54,atomic=False,
agency,noun,4.87,atomic=False,
agenda,noun,4.3,atomic=False,
agendas,noun,3.27,atomic=False,
agent,noun,4.81,atomic=True,
agents,noun,4.55,atomic=True,
ages,noun,4.53,atomic=True,
aggravate,verb,2.8,atomic=False,
aggregate,noun,3.94,atomic=False,
aggressor,noun,3.01,atomic=False,
aggrieved,verb,2.9,atomic=False,
aghast,adj,2.64,atomic=True,
agile,adj,3.41,atomic=False,
agility,noun,3.33,atomic=False,
aging,noun,4.04,atomic=False,
agitate,verb,2.64,atomic=False,
agitated,verb,3.35,atomic=False,
agitating,verb,2.67,atomic=False,
agitation,noun,3.19,atomic=False,
agitators,noun,2.69,atomic=False,
agnostic,noun,3.02,atomic=False,
ago,adj,5.42,atomic=True,
agonist,noun,2.83,atomic=False,
